Place,Date,Designation,Review
"Jundiaí, SP",2017-06-05,produção,Trabalho bom com pessoas agradável e que sabe se portar uns com os outros
"Jundiaí, SP",2017-06-04,auxiliar de produção,Lugar ótimo salario muito bom mas pouca estabilidade
"Jundiaí, SP",2017-06-03,Operadora de Produção I operadora de qualidade 1,"E uma empresa boa tem benefícios bons, uma empresa organizada."
"chongquing, china",2017-06-03,Quality engineer,"Etrack is a traceability tool for defective units that provide the real time status of that unit from collection at the end customer through to in-transit, repair, and return. It is an integrated tool that is linked to our customer’s call center and our selected carrier."
"Tijuana, B.C.",2017-06-02,ensamble,"es muy bueno el personal, la verdad me la pasaba muy bien."
"Jundiaí, SP",2017-06-02,assistente tecnico de processo,"Empresa boa porem gerencia ruim,falta vsualização em gerais areas"
"Indaiatuba, SP",2017-06-02,Analista de Importação e Exportação,"Excelente ambiente de trabalho, toda a minha carreira foi desenhada dentro desta empresa, serei eternamente grata pela oportunidade."
"Jundiaí, SP",2017-06-01,operador de smt,"Uma empresa boa para trabalhar,  mas no pena que não da oportunidade para os funcionário,tirando isto um bom lugar para trabalhar."
Jigs,2017-05-31,Tecnico de jigs,Solo falta más sueldo yque haya más oportunidades de crecimiento  dentro de la empresa
"Indaiatuba, SP",2017-05-31,Coordenador de TI,"ótimas oportunidades de crescimento profissional, aprendi muito"
"Jundiaí, SP",2017-05-31,Operador 1,Uma otima empresa onde eu como colaborador me sentia bem no ambiente com colegas e outros setores da fabrica
"Houston, TX",2017-05-31,Document Control Specialist,Working environment toughPoor managementLow payGreat co-workersGood benefitsCulture antiquatedworked full time for 4 yearslow potential for advancement
"Ciudad Juárez, Chih.",2017-05-30,Ingeniero NPI,"Buen ambiente de trabajo, buenas prestaciones y gastos medicos"
"Ciudad Juárez, Chih.",2017-05-29,Entrenador,"Un dia tipico es tranquilo, facilidad de aprendizaje del proceso"
"Jundiaí, SP",2017-05-29,Assistente de Suporte,Foxconn é um exemplo no segmento eletrônico.Nela existe um ambiente agradável de trabalho e profissionais qualificados mantendo assim o funcionário sempre motivado para desempenhar seu papel.
"Jundiaí, SP",2017-05-26,Engenheiro de Qualidade,"Sem comentários, prefiro não entrar com muitos detalhes."
Manaus - Amazonas - Brasil,2017-05-26,Controller,"É uma empresa muito boa para trabalhar, apenas desejo trabalhar em Portugal  na cidade de Braga."
"Houston, TX",2017-05-25,Buyer,"Terrible place overall with very low salaries, terrible benefits and clockwork culture. This company does not care about its employees and does nothing to promote a good environment. The corporate headquarters in China break down performance and value to the penny."
"Jundiaí, SP",2017-05-25,operadora muntifuncional,"Uma empresa onde tive oportunidade de aprender , conhecer o processo da empresa do começo ao fim no ramo de manufatura."
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Jundiaí, SP",2017-05-25,Operador de Produção III,"Um dia normal dentro da empresa sempre foi muito corrido.Muito trabalho em equipe, os últimos supervisores e gerentes foram muito bons, a liderança era o que faltava, lideres muita das vezes eram escolhidos de forma errada como pessoal e não como profissional, assim não se tinha um papel correto de líder na empresa, e desse modo era passado para Operadores I, que os bons não tiveram chance de subir de cargo.Conheci muita gente que gostava de trabalhar, por outro lado tinha os que não fazia o mesmo, eu ajudava no treinamento de novos operadores então sabia como era o trabalho de cada um.A unica coisa ruim mesmo era esse tipo de pessoa, que faz ""corpo mole"" assim atrapalhando o restante, nunca gostei e nem concordava com a CIPA, (mesmo sendo formada em Segurança do trabalho) onde os votos eram comprados (com doces) a maioria dos eleitos eram as ""pessoas que faziam corpo mole"", sempre achei ridículo esse negocio de estabilidade. Gostava de trabalhar na empresa e isso era a parte agradável, os problemas do dia a dia a correria era boa."
"Chennai, Tamil Nadu",2017-05-23,Supplier Quality Engineer,. very good work experience . i was worked with china factory for one year . i learn lot of SMT and assembly process for mobile phones . we setup Motorola process in Foxconn
"Jundiaí, SP",2017-05-22,produção,"Uma empresa muito boa de se trabalhar, com bastante oportunidade de carreira."
"Jundiaí, SP",2017-05-21,Operadora de qualidade,Empresa com grande chances de promoção no trabalho
"Juarez,Mexico",2017-05-21,jefe de grupo,Empresa que brinda a sus trabajadores una excelente cultura laboral.
"Santa Clara, CA",2017-05-19,Senior Director,"Good people, good customers.  The company as stated:1st class customer2nd class equipment3rd class technology4th class managementThe firm growth is slowing down."
"Ciudad Juárez, Chih.",2017-05-18,operador de produccion,buen ambiente de trabajo buenos jefes aprendi mucho de alli asi como la calidad y la reparacion buena cafeteria buenos bonos por tiempo extra buen salario
"Jundiaí, SP",2017-05-18,Operadora da qualidade,"Uma otima empresa,gostava muito de trabalhar nela."
"Tijuana, B.C.",2017-05-17,Recursos Humanos,es un ambiente agradable ya que dan facilidad de seguir prosperandonos en el mbito laboral y tambien se queda una mas de la jornada laboral lo pagan como tiempo extras.
"Ciudad Juárez, Chih.",2017-05-17,Tecnico de pruebas,Entre compañeros y jefes si existe el trabajo en equipo
"Houston, TX",2017-05-17,Assembly Line Worker,"It was my first job. I have learned many concepts as an assembly worker. People are nice and well-known each other. A co-worker is helpful to each other.  Overall, it was fun and learning experience for me to work at the Foxconn."
"Jundiaí, SP",2017-05-16,auxiliar de produção,a empresa fornecia fretado dava mais uma condução fornecia alimentação no local convênio medico um vale cesta convênio odontológico
"Ciudad Juárez, Chih.",2017-05-16,Shipping Department,"tiene oportunidades de mejorar, pero las personas que administran no son lo mejor de la empresa, tiene bajo sueldo aun y apesar de que pagan mas en otros lugares en el mismo puesto."
"Tijuana, B.C.",2017-05-14,Ingeniero de Aplicaciones,Empresa que te permite un desarrollo profesional continuo. el ambiente laboral es agradable.
"Chihuahua, Chih.",2017-05-11,Production Planer and Buyer,El trabajo en equipo hace que se mantenga la planta estable. Hay varias unidades de negocio y la demanda varia pero siempre se protege al personal.
"Indaiatuba, SP",2017-05-10,lider de producao,"Empresa com otimos beneficios e valorização de funcionários, tinha uma equipe muito boa e dedicada que me ajudava muito"
"Shen Zhen, China",2017-05-10,"Mechanical engineer,","I have performed scientific work on investigating sensory reconstruction of intelligent prosthetic hands for upper-limb amputees. My PhD project tried to develop a feasible neural interface that could feed back finger-to-finger tactile information from the prosthetic hand to an upper-limb amputee. we also tried to deliver the proprioceptive feedback of a myoelectric prosthetic hand, such as opening and closing angels or grip strength, to an amputee user. Electrotactile stimulation was used for multi-sensory activation and feedback encoding. My research work involved defining project’s objective, designing experiment protocol, acquiring & processing data and publication."
"Houston, TX",2017-05-08,Planner/Scheduler,"working environment is kind of slow, easy. good for old people who want to go to work. good place to start your experiences. couldn't help to improve yourself."
Texas,2017-05-05,Quality Assurance Analyst,If you love a fast pace environment this would be a job for you. I loved working the assembly line as well as working with the different variety of telephones.
"Jundiaí, SP",2017-05-05,Operador de Reparos,"Uma ótima empresa para se trabalhar, com horario de trabalho bom e cultura fácil de ser aprendida."
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Jundiaí, SP",2017-05-04,Tecnico em Eletrônica,"Aprimorei os meus conhecimentos técnicos na empresa, o trabalho não era cansativo e não tinha pressão.O relacionamento com os colegas de trabalho era muito bom."
"Tijuana, B.C.",2017-05-03,operador de SMT,buen ambiente entre empleados y mucha comunicacion
"Santa Teresa, Chih.",2017-05-02,tecnico en reparacion,"se tiene muchas oportunidades de aprender, pero muy pocas para que tengas un acenso"
"Jundiaí, SP",2017-05-02,Tecnica em circuitos eletronicos,"A empresa oferece  oportunidade de crescimento,de grande porte , multinacional no ramo eletronico."
"Jundiaí, SP",2017-05-01,Operador de Produção,aprendi a comunicar e lidar com as diferenças entre as pessoas e trabalhar sempre em grupo...
"Manaus, AM",2017-04-26,Produc&Mater. Planning Superv/Busin.Control Superv,Empresa com toda infra-estrutura para desempenho das atividades diárias.
"Jundiaí, SP",2017-04-26,Operadora de produção 1,"E uma empresa Boa de está trabalhando.Líderes  bem comunicativos, colegas de trabalho bem educados."
"Jundiaí, SP",2017-04-25,Operador de Materiais (Almoxerifado),Empresa muito boa para o crescimento profissional no mercado de trabalho.
"San Jose, CA",2017-04-24,Test/Process Engineer,"paid by hourly and no benefits at all. Work environment was bad. it was hard to deal with people there. if you are not Chinese.   Don't go there, ..d...."
"Plainfield, IN",2017-04-24,Quality Control Inspector,They don't pay very well. It's ok if you like jobs where you feel like a robot. I worked there for a while hoping to advance within the company. I notice that people in higher positions were over worked and under appreciated.
"Houston, TX",2017-04-23,Computer tester,"I've been working here for nearly 4 years and i haven't experience major issues but sometimes when you're in trouble i can be hard to be forgiven. For example, arriving late or asking for vacation days. The head administrator can be really strict at times but overall the job is okay."
"Ciudad Juárez, Chih.",2017-04-22,Supervisor,es una empresa en la que el apoyo a su personal se ve reflegado segun las aptitudes y logos de cada uno.
